Package,LibPath,Version,Priority,Built
abind,C:/Users/kknight1/Documents/R/win-library/3.5,1.4-5,NA,3.5.0
animation,C:/Users/kknight1/Documents/R/win-library/3.5,2.5,NA,3.5.1
assertthat,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.0,NA,3.5.1
Athena,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
AWR.Athena,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.2-1,NA,3.5.1
aws.athena,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
aws.ec2metadata,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.5,NA,3.5.1
aws.s3,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.12,NA,3.5.1
aws.ses,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.4,NA,3.5.1
aws.signature,C:/Users/kknight1/Documents/R/win-library/3.5,0.4.4,NA,3.5.1
backports,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.2,NA,3.5.0
base64enc,C:/Users/kknight1/Documents/R/win-library/3.5,0.1-3,NA,3.5.0
BH,C:/Users/kknight1/Documents/R/win-library/3.5,1.66.0-1,NA,3.5.0
bigrquery,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
bindr,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.1,NA,3.5.1
bindrcpp,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.2,NA,3.5.1
bit,C:/Users/kknight1/Documents/R/win-library/3.5,1.1-14,NA,3.5.0
bit64,C:/Users/kknight1/Documents/R/win-library/3.5,0.9-7,NA,3.5.0
bitops,C:/Users/kknight1/Documents/R/win-library/3.5,1.0-6,NA,3.5.0
blob,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.1,NA,3.5.1
brew,C:/Users/kknight1/Documents/R/win-library/3.5,1.0-6,NA,3.5.0
broom,C:/Users/kknight1/Documents/R/win-library/3.5,0.5.0,NA,3.5.1
callr,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.4,NA,3.5.1
caTools,C:/Users/kknight1/Documents/R/win-library/3.5,1.17.1.1,NA,3.5.1
cellranger,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.0,NA,3.5.1
chron,C:/Users/kknight1/Documents/R/win-library/3.5,2.3-52,NA,3.5.1
classInt,C:/Users/kknight1/Documents/R/win-library/3.5,0.2-3,NA,3.5.1
cli,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
clipr,C:/Users/kknight1/Documents/R/win-library/3.5,0.4.1,NA,3.5.1
clisymbols,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
colorspace,C:/Users/kknight1/Documents/R/win-library/3.5,1.3-2,NA,3.5.1
config,C:/Users/kknight1/Documents/R/win-library/3.5,0.3,NA,3.5.1
cowplot,C:/Users/kknight1/Documents/R/win-library/3.5,0.9.3,NA,3.5.1
crayon,C:/Users/kknight1/Documents/R/win-library/3.5,1.3.4,NA,3.5.1
crosstalk,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
curl,C:/Users/kknight1/Documents/R/win-library/3.5,3.2,NA,3.5.1
data.table,C:/Users/kknight1/Documents/R/win-library/3.5,1.11.4,NA,3.5.1
DBI,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
dbplyr,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.2,NA,3.5.1
desc,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
devtools,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.1,NA,3.5.1
dichromat,C:/Users/kknight1/Documents/R/win-library/3.5,2.0-0,NA,3.5.0
digest,C:/Users/kknight1/Documents/R/win-library/3.5,0.6.18,NA,3.5.1
dplyr,C:/Users/kknight1/Documents/R/win-library/3.5,0.7.8,NA,3.5.1
DT,C:/Users/kknight1/Documents/R/win-library/3.5,0.5,NA,3.5.1
dxd,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.1,NA,3.5.1
e1071,C:/Users/kknight1/Documents/R/win-library/3.5,1.7-0,NA,3.5.1
esquisse,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.6,NA,3.5.1
evaluate,C:/Users/kknight1/Documents/R/win-library/3.5,0.11,NA,3.5.1
fansi,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.3,NA,3.5.1
forcats,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.0,NA,3.5.1
forge,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
formatR,C:/Users/kknight1/Documents/R/win-library/3.5,1.5,NA,3.5.1
fs,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.6,NA,3.5.1
futile.logger,C:/Users/kknight1/Documents/R/win-library/3.5,1.4.3,NA,3.5.1
futile.options,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.1,NA,3.5.0
gdtools,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.7,NA,3.5.1
geosphere,C:/Users/kknight1/Documents/R/win-library/3.5,1.5-7,NA,3.5.1
ggmap,C:/Users/kknight1/Documents/R/win-library/3.5,2.7.904,NA,3.5.1
ggplot2,C:/Users/kknight1/Documents/R/win-library/3.5,3.1.0,NA,3.5.1
ggthemes,C:/Users/kknight1/Documents/R/win-library/3.5,4.0.1,NA,3.5.1
gh,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.1,NA,3.5.1
git2r,C:/Users/kknight1/Documents/R/win-library/3.5,0.23.0,NA,3.5.1
glue,C:/Users/kknight1/Documents/R/win-library/3.5,1.3.0,NA,3.5.1
gridExtra,C:/Users/kknight1/Documents/R/win-library/3.5,2.3,NA,3.5.1
gsubfn,C:/Users/kknight1/Documents/R/win-library/3.5,0.7,NA,3.5.1
gtable,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.0,NA,3.5.1
haven,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.2,NA,3.5.1
here,C:/Users/kknight1/Documents/R/win-library/3.5,0.1,NA,3.5.1
highr,C:/Users/kknight1/Documents/R/win-library/3.5,0.7,NA,3.5.1
hms,C:/Users/kknight1/Documents/R/win-library/3.5,0.4.2,NA,3.5.1
htmltools,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.6,NA,3.5.1
htmlwidgets,C:/Users/kknight1/Documents/R/win-library/3.5,1.3,NA,3.5.1
httpuv,C:/Users/kknight1/Documents/R/win-library/3.5,1.4.5,NA,3.5.1
httr,C:/Users/kknight1/Documents/R/win-library/3.5,1.3.1,NA,3.5.1
idexxRadar,C:/Users/kknight1/Documents/R/win-library/3.5,0.5.0,NA,3.5.1
imdb,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.0,NA,3.5.1
ini,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.1,NA,3.5.1
janitor,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.1,NA,3.5.1
jpeg,C:/Users/kknight1/Documents/R/win-library/3.5,0.1-8,NA,3.5.0
jsonlite,C:/Users/kknight1/Documents/R/win-library/3.5,1.5,NA,3.5.1
keras,C:/Users/kknight1/Documents/R/win-library/3.5,2.2.0,NA,3.5.1
knitr,C:/Users/kknight1/Documents/R/win-library/3.5,1.20,NA,3.5.1
labeling,C:/Users/kknight1/Documents/R/win-library/3.5,0.3,NA,3.5.0
lambda.r,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.3,NA,3.5.1
later,C:/Users/kknight1/Documents/R/win-library/3.5,0.7.4,NA,3.5.1
lazyeval,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.1,NA,3.5.1
leaflet,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.2,NA,3.5.1
listviewer,C:/Users/kknight1/Documents/R/win-library/3.5,2.1.0,NA,3.5.1
lubridate,C:/Users/kknight1/Documents/R/win-library/3.5,1.7.4,NA,3.5.1
magrittr,C:/Users/kknight1/Documents/R/win-library/3.5,1.5,NA,3.5.1
mailR,C:/Users/kknight1/Documents/R/win-library/3.5,0.4.1,NA,3.5.1
mapdata,C:/Users/kknight1/Documents/R/win-library/3.5,2.3.0,NA,3.5.1
mapproj,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.6,NA,3.5.1
maps,C:/Users/kknight1/Documents/R/win-library/3.5,3.3.0,NA,3.5.1
maptools,C:/Users/kknight1/Documents/R/win-library/3.5,0.9-3,NA,3.5.1
mapview,C:/Users/kknight1/Documents/R/win-library/3.5,2.6.0,NA,3.5.1
markdown,C:/Users/kknight1/Documents/R/win-library/3.5,0.8,NA,3.5.1
memoise,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.0,NA,3.5.1
mime,C:/Users/kknight1/Documents/R/win-library/3.5,0.5,NA,3.5.0
miniUI,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.1.1,NA,3.5.1
mnormt,C:/Users/kknight1/Documents/R/win-library/3.5,1.5-5,NA,3.5.0
modelr,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.2,NA,3.5.1
munsell,C:/Users/kknight1/Documents/R/win-library/3.5,0.5.0,NA,3.5.1
odbc,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.6,NA,3.5.1
omdbapi,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.0,NA,3.5.1
openssl,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.2,NA,3.5.1
pander,C:/Users/kknight1/Documents/R/win-library/3.5,0.6.2,NA,3.5.1
pillar,C:/Users/kknight1/Documents/R/win-library/3.5,1.3.0,NA,3.5.1
pkgbuild,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.2,NA,3.5.1
pkgconfig,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.1,NA,3.5.1
pkgload,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.2,NA,3.5.1
plogr,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.0,NA,3.5.1
plyr,C:/Users/kknight1/Documents/R/win-library/3.5,1.8.4,NA,3.5.1
png,C:/Users/kknight1/Documents/R/win-library/3.5,0.1-7,NA,3.5.0
praise,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
prettyunits,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.2,NA,3.5.1
processx,C:/Users/kknight1/Documents/R/win-library/3.5,3.1.0,NA,3.5.1
progress,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
promises,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.1,NA,3.5.1
proto,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
psych,C:/Users/kknight1/Documents/R/win-library/3.5,1.8.4,NA,3.5.1
purrr,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.5,NA,3.5.1
R.methodsS3,C:/Users/kknight1/Documents/R/win-library/3.5,1.7.1,NA,3.5.0
R.oo,C:/Users/kknight1/Documents/R/win-library/3.5,1.22.0,NA,3.5.0
R.utils,C:/Users/kknight1/Documents/R/win-library/3.5,2.7.0,NA,3.5.1
r2d3,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.2,NA,3.5.1
R6,C:/Users/kknight1/Documents/R/win-library/3.5,2.2.2,NA,3.5.1
rapidjsonr,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.0
rappdirs,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.1,NA,3.5.1
raster,C:/Users/kknight1/Documents/R/win-library/3.5,2.6-7,NA,3.5.1
rcmdcheck,C:/Users/kknight1/Documents/R/win-library/3.5,1.3.2,NA,3.5.1
RColorBrewer,C:/Users/kknight1/Documents/R/win-library/3.5,1.1-2,NA,3.5.0
Rcpp,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
readr,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.1,NA,3.5.1
readxl,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.0,NA,3.5.1
rematch,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.1,NA,3.5.1
remotes,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.2,NA,3.5.1
reprex,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.0,NA,3.5.1
repurrrsive,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
reshape2,C:/Users/kknight1/Documents/R/win-library/3.5,1.4.3,NA,3.5.1
reticulate,C:/Users/kknight1/Documents/R/win-library/3.5,1.10,NA,3.5.1
rgdal,C:/Users/kknight1/Documents/R/win-library/3.5,1.3-4,NA,3.5.1
RgoogleMaps,C:/Users/kknight1/Documents/R/win-library/3.5,1.4.3,NA,3.5.1
rJava,C:/Users/kknight1/Documents/R/win-library/3.5,0.9-10,NA,3.5.0
RJDBC,C:/Users/kknight1/Documents/R/win-library/3.5,0.2-7.1,NA,3.5.1
rjson,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.20,NA,3.5.0
rlang,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.0.1,NA,3.5.1
rmarkdown,C:/Users/kknight1/Documents/R/win-library/3.5,1.10,NA,3.5.1
RODBC,C:/Users/kknight1/Documents/R/win-library/3.5,1.3-15,NA,3.5.0
RODBCext,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.1,NA,3.5.1
RPresto,C:/Users/kknight1/Documents/R/win-library/3.5,1.3.2,NA,3.5.1
rprojroot,C:/Users/kknight1/Documents/R/win-library/3.5,1.3-2,NA,3.5.1
RSQLite,C:/Users/kknight1/Documents/R/win-library/3.5,2.1.1,NA,3.5.1
rstudioapi,C:/Users/kknight1/Documents/R/win-library/3.5,0.7,NA,3.5.1
rvest,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.2,NA,3.5.1
sas7bdat,C:/Users/kknight1/Documents/R/win-library/3.5,0.5,NA,3.5.0
satellite,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.1,NA,3.5.1
scales,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
selectr,C:/Users/kknight1/Documents/R/win-library/3.5,0.4-1,NA,3.5.1
sessioninfo,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.1,NA,3.5.1
sf,C:/Users/kknight1/Documents/R/win-library/3.5,0.6-3,NA,3.5.1
shiny,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.0,NA,3.5.1
shinyWidgets,C:/Users/kknight1/Documents/R/win-library/3.5,0.4.4,NA,3.5.1
skimr,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.3,NA,3.5.1
snakecase,C:/Users/kknight1/Documents/R/win-library/3.5,0.9.2,NA,3.5.1
sourcetools,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.7,NA,3.5.1
sp,C:/Users/kknight1/Documents/R/win-library/3.5,1.3-1,NA,3.5.1
sparklyr,C:/Users/kknight1/Documents/R/win-library/3.5,0.9.2,NA,3.5.1
spData,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.9.4,NA,3.5.1
sqldf,C:/Users/kknight1/Documents/R/win-library/3.5,0.4-11,NA,3.5.1
stars,C:/Users/kknight1/Documents/R/win-library/3.5,0.1-1,NA,3.5.1
stringi,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.7,NA,3.5.0
stringr,C:/Users/kknight1/Documents/R/win-library/3.5,1.3.1,NA,3.5.1
svglite,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.1,NA,3.5.1
tensorflow,C:/Users/kknight1/Documents/R/win-library/3.5,1.9,NA,3.5.1
testthat,C:/Users/kknight1/Documents/R/win-library/3.5,2.0.0,NA,3.5.1
tfruns,C:/Users/kknight1/Documents/R/win-library/3.5,1.4,NA,3.5.1
tibble,C:/Users/kknight1/Documents/R/win-library/3.5,1.4.2,NA,3.5.1
tidyr,C:/Users/kknight1/Documents/R/win-library/3.5,0.8.1,NA,3.5.1
tidyselect,C:/Users/kknight1/Documents/R/win-library/3.5,0.2.4,NA,3.5.1
tidyverse,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.1,NA,3.5.1
tigris,C:/Users/kknight1/Documents/R/win-library/3.5,0.7,NA,3.5.1
tinytex,C:/Users/kknight1/Documents/R/win-library/3.5,0.6,NA,3.5.1
units,C:/Users/kknight1/Documents/R/win-library/3.5,0.6-0,NA,3.5.1
usethis,C:/Users/kknight1/Documents/R/win-library/3.5,1.4.0,NA,3.5.1
utf8,C:/Users/kknight1/Documents/R/win-library/3.5,1.1.4,NA,3.5.1
uuid,C:/Users/kknight1/Documents/R/win-library/3.5,0.1-2,NA,3.5.0
viridis,C:/Users/kknight1/Documents/R/win-library/3.5,0.5.1,NA,3.5.1
viridisLite,C:/Users/kknight1/Documents/R/win-library/3.5,0.3.0,NA,3.5.1
webshot,C:/Users/kknight1/Documents/R/win-library/3.5,0.5.0,NA,3.5.1
whisker,C:/Users/kknight1/Documents/R/win-library/3.5,0.3-2,NA,3.5.1
withr,C:/Users/kknight1/Documents/R/win-library/3.5,2.1.2,NA,3.5.1
xfun,C:/Users/kknight1/Documents/R/win-library/3.5,0.3,NA,3.5.1
xml2,C:/Users/kknight1/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
xopen,C:/Users/kknight1/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
xtable,C:/Users/kknight1/Documents/R/win-library/3.5,1.8-3,NA,3.5.1
yaml,C:/Users/kknight1/Documents/R/win-library/3.5,2.2.0,NA,3.5.1
zeallot,C:/Users/kknight1/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
zoo,C:/Users/kknight1/Documents/R/win-library/3.5,1.8-4,NA,3.5.2
base,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
boot,C:/Program Files/R/R-3.5.1/library,1.3-20,recommended,3.5.1
class,C:/Program Files/R/R-3.5.1/library,7.3-14,recommended,3.5.1
cluster,C:/Program Files/R/R-3.5.1/library,2.0.7-1,recommended,3.5.1
codetools,C:/Program Files/R/R-3.5.1/library,0.2-15,recommended,3.5.1
compiler,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
datasets,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
foreign,C:/Program Files/R/R-3.5.1/library,0.8-70,recommended,3.5.1
graphics,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
grDevices,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
grid,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
KernSmooth,C:/Program Files/R/R-3.5.1/library,2.23-15,recommended,3.5.1
lattice,C:/Program Files/R/R-3.5.1/library,0.20-35,recommended,3.5.1
MASS,C:/Program Files/R/R-3.5.1/library,7.3-50,recommended,3.5.1
Matrix,C:/Program Files/R/R-3.5.1/library,1.2-14,recommended,3.5.1
methods,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
mgcv,C:/Program Files/R/R-3.5.1/library,1.8-24,recommended,3.5.1
nlme,C:/Program Files/R/R-3.5.1/library,3.1-137,recommended,3.5.1
nnet,C:/Program Files/R/R-3.5.1/library,7.3-12,recommended,3.5.1
parallel,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
rpart,C:/Program Files/R/R-3.5.1/library,4.1-13,recommended,3.5.1
spatial,C:/Program Files/R/R-3.5.1/library,7.3-11,recommended,3.5.1
splines,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
stats,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
stats4,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
survival,C:/Program Files/R/R-3.5.1/library,2.42-3,recommended,3.5.1
tcltk,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
tools,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
translations,C:/Program Files/R/R-3.5.1/library,3.5.1,NA,3.5.1
utils,C:/Program Files/R/R-3.5.1/library,3.5.1,base,3.5.1
